Nombre;Letra
abrazame muy fuerte;Cuando tu estas conmigo es cuando yo digo Que valio la pena todo  todo lo que yo he sufrido No se si es un sueno aun O es una realidad Pero cuando estoy contigo es cuando digo Que este amor que siento es por que tu lo has merecido Con decirte amor que otra vez he amanecido Llorando de felicidad A tu lado yo siento que estoy viviendo Nada es como ayer Abrazame que el tiempo pasa y el nunca perdona Ha hecho estragos en mi gente como en mi persona Abrazame que el tiempo es malo y muy cruel amigo Abrazame que el tiempo es oro si tu estas conmigo Abrazame fuerte  muy fuerte  mas fuerte que nunca Siempre abrazame Hoy que tu estas conmigo Yo no se si esta pasando el tiempo o tu lo has detenido Asi quiero estar por siempre Aprovecho que estas tu conmigo Te doy gracias por cada momento de mi vivir Tu cuando mires para el cielo Por cada estrella que aparezca amor es un Te Quiero Abrazame que el tiempo hiere y el cielo es testigo Que el tiempo es cruel a nadie quiere por eso te digo Abrazame muy fuerte amor mantenme asi a tu lado Yo quieragradecerte amor todo lo que me has dado Quiero poder corresponderte de una forma o otra a diario Amor yo nunca del dolor he sido partidario Pero a mi me toco sufrir cuando confie y crei En alguien que juro que daba su vida por mi Abrazame que el tiempo pasa y ese no se detiene Abrazame muy fuerte amor que el tiempo en contra viene Abrazame que Dios perdona pero el tiempo a ninguno Abrazame que no le importa saber quien es uno Abrazame que el tiempo pasa y el nunca perdona Ha hecho estragos en mi gente como en mi persona Abrazame que el tiempo es malo y muy cruel amigo Abrazame muy fuerte amor 
Amor eterno;Tu eres la tristeza de mis ojos Que lloran en silencio por tu amor Me miro en el espejo y veo en mi rostro El tiempo que he sufrido por tu adios Obligo que te olvido en el pensamiento Pues  siempre estoy pensando en el ayer Prefiero estar dormida que despierta De tanto que me duele que no estes Como quisera  ay Que tu vivieras Que tus ojitos jamas se hubieran Cerrado nunca y estar mirandolos Amor eterno E inolvidable Tarde o temprano estare contigo Para segir  amandolos Yo he sufrido tanto por tu ausencia Desde ese dia hasta hoy  no soy feliz Y aunque tengo tranquila mi conciencia Se que pude haber yo hecho mas por ti Obscura soledad estoy viviendo La misma soledad de tu sepulcro Tu eres el amor de cual yo tengo El mas triste recuerdo de acapulco 
Hasta que te conoci;No sabia  de tristezas  ni de lagrimas Ni nada  que me hicieran llorar Yo sabia de carino  de ternura Porque a mi desde pequeno Eso me enseno mama  eso me enseno mama Eso y muchas cosas mas Yo jamas sufri  yo jamas llore Yo era muy feliz  yo vivia muy bien  Yo vivia tan distinto  algo hermoso Algo divino  lleno de felicidad Yo sabia de alegrias  la belleza de la vida Pero no de soledad  pero no de soledad Eso y muchas cosas masYo jamas sufri  yo jamas lloreYo era muy feliz  yo vivia muy bien Hasta que te conociVi la vida con dolor No te miento fui feliz Aunque con muy poco amor Y muy tarde comprendi Que no te debia amar Porque ahora pienso en ti Mas que ayer  mucho mas Hasta que te conoci Vi la vida con dolor No te miento fui feliz  Aunque con muy poco amor Y muy tarde comprendi Que no te debia amarPorque ahora pienso en tiMas que ayer  mucho mas Yo jamas sufri Yo jamas llore Yo era muy feliz Pero te encontre Ahora quiero que me digas Si valio o no la pena Haberte conocido Porque no te creo mas Y es que tu fuiste muy mala Si  muy mala conmigo Por eso no te quiero  No te quiero ver jamas Vete  vete  vete  vete Vete de mi pena Vete  no te quiero No te quiero ver jamas Vete
Yo no naci para amar;A mis dieciseis anhelaba tanto un amor que no llego Siempre lo espere Todos mis amigos se encontraban en la misma situacion Y despues yo vi como iban cambiando su manera de vivir Todos con su amor  cada uno de ellos Muy sonrientes muy felices Menos yo Y la soledad Cada vez mas triste  y mas oscura yo vivi Y a esa edad Todos preguntaban los motivos Yo solia siempre decir Yo no naci para amar Nadie nacio para mi Tan solo fui Un loco sonador nomas Yo no naci para amar Nadie nacio para mi Mis suenos nunca Se volvieron realidad Siempre lo busque pero  nunca pude encontrar ese amor Siempre lo espere y en todas partes que esperaba Ese amor nunca llego Hoy mi soledad cada vez mas triste Y mas oscura pueden ver Hoy en esta edad aun me preguntan mis amigos Y es tan triste responder Yo no naci para amar Nadie nacio para mi Tan solo fui Un loco sonador nomas Yo no naci para amar Nadie nacio para mi Mis suenos nunca Se volvieron realidad Yo no naci para amar Nadie nacio para mi Tan solo fui Un loco sonador nomas Yo no naci para amar Nadie nacio para mi Mis suenos no se realizaron Yo no naci para amar
Ya no vivo por vivir;Poco a poco a poquito me fui enamorando No pude evitarlo yo te quiero tanto  pero Tanto y tanto tu bien sabes cuanto eso y Otro tanto te quiero decir que ya no vivo por vivir  Que ya no vivo por vivir Poco a poco a poquito me fuiste ensenando A besar tus labios  tus ojos  tus manos Tu cuerpo  sonando te tengo en mi brazos Quiero ser de ti  yo voy a ser de ti el mas Grande y dulce amor  el mas grande y dulce amor Poco a poco lentamente me ensenaste a querer Poco a poco lentamente yo de ti me enamore Poco a poco lentamente me ensenaste a vivir  Poco a poco lentamente yo me enamore de ti Hoy canto y vivo contenta porque ahora ya Puedo decir que por fin ya no vivo por vivir Ya no vivo  Hoy canto y vivo contento porque Ahora ya puedo decir que por fin ya no vivo Por vivir  Ya no vivo 
Ya lo se que tu te vas;Hoy me he despertado Con mucha tristesa Sabiendo que manana Ya te vas de mi Te juro mi vida Que pensando en lo nuestro Me pase la noche Casi sin dormir Ya lo se que tu te vas Que quizas no volveras Que muy tristes hoy seran Mis mananas si te vas Hasta cuando volveras A mis brazos no lo se Sera una eternidad Creo que te voy a perder Ya lo se mi amor Que te vas  te vas Que ha llegado la hora De decirnos adios Te deseo buena suerte Hasta nunca mi amor Adios amor  adios amor  adios amor Adios amor  adios amor  adios amor  adios amor  adios amor  Adios amor Adios amor
Te sigo amando;Que seas muy feliz  estes donde estes  carino No importa que ya  no vuelvas jamas  conmigo Deseo mi amor  que sepas tambien que te amo Que no te olvide  que nunca podre  te extrano Que seas muy feliz que encuentres amor  mi vida  Que nunca mi amor  te digan adios  un dia Perdoname mi amor por todo el tiempo que te ame y te hice dano Te ame de mas y fue mi error  Que soledad estoy sin ti  lo estoy pagando Que seas muy feliz  que seas muy feliz  Mientras que yo Te sigo amando  Deseo mi amor que sepas tambien que te amo Que no te olvide  que nunca podre  te extrano Perdoname mi amor por todo el tiempo que te ame y te hice dano Te ame de mas y fue mi error  Que soledad estoy sin ti  lo estoy pagando Que seas muy feliz  que seas muy felices Mientras que yo     Te sigo amando
Querida;Querida  ah Cada momento de mi vida  ah Yo pienso en ti mas cada dia  ay Mira mi soledad  mira mi soledad Que no me sienta nada bien Oh  ven ya Querida  ay No me ha sanado bien la herida  ay Te extrano y lloro todavia  ay Mira mi soledad  mira mi soledad Que no me sienta nada bien Oh  ven ya Querida Piensa en mi solo un momento y ven Date cuenta de que el tiempo es cruel Y lo he pasado  yo sin ti Oh  ven ya Ah-ah Querida­Hazlo por quien mas quieras tu!­Yo quiero ver de nuevo luz en toda mi casa!­Oh-oh querida!­Ven a mi que estoy sufriendo!­Oh ven a mi que estoy muriendo!En esta soledad  en esta soledadQue no me sienta nada bienVen­Querida!­Por lo que quieras tu mas ven!­Mas compasion de mi tu ten!Mira mi soledad  mira mi soledad­Que no me sienta nada bien!­Querida!­Querida!Dime cuando tu  dime cuando tu  dime cuando tu vas a volver ah-jay Dime cuando tu  dime cuando tu  dime cuando tu vas a volver­Querida!­Eh-jey!­Querida!Dime cuando tu  dime cuando tu  dime cuando tu vas a volver  ­ah-jay!Dime cuando tu  dime cuando tu  dime cuando tu vas a volver­Aja  aja!­Tu!­Ven a mi soledad!­Tu!Yo no puedo ni te quiero olvidar  ­a-uh!Dime cuando tu­Ey!­Tu! Dime cuando tu­Ey!­Tu!
Pero que necesidad;Es dificil aceptar que me tenga que quedar algun dia sin usted pero asi que ser tendra yo quisiera que jamas pero mia usted no es Pero que necesidad para que tanto problema no hay como la libertad de ser  de estar  de ir de amar  de hacer  de hablar  de andar asi sin penas Pero que necesidad para que tanto problema mientras yo le quiero ver feliz  cantar  bailar reir  sonar  sentir  volar  ellos le frenan Pero mientras llegue el dia me imagino de que es mia y yo mas le amo cada vez y aprovecho tiempo y vida a su amor aunque a escondidas nos tengamos ya que ver Pero que necesidad para que tanto problema no hay como la libertad de ser  de estar  de ir de amar  de hacer  de hablar  de andar asi sin penas 
Noa Noa;"Cuando quieras tu  divertirte mas  Y bailar sin fin  Yo se de un lugar  Que te llevare (vamos al noa) y disfrutaras (vamos al noa)De una noche que nunca olvidaras ¨Quieres bailar esta noche?Vamos al Noa Noa Noa  Noa  Noa  Noa  Noa  Noa Noa  Noa  Noa vamos a bailar Vamos al Noa Noa Noa  Noa  Noa  Noa  Noa  Noa Noa  Noa  Noa vamos a bailar Este es un lugar de ambiente donde todo es diferente Donde siempre alegremente bailaras toda la noche ahi  Este es un lugar de ambiente donde todo es diferente  Donde siempre alegremente bailaras toda la noche ahi Esta noche te invito a bailar esta noche mi amor La  la  la   ¨Quieres bailar esta noche?Vamos al Noa Noa Noa  Noa  Noa  Noa Noa  Noa Noa  Noa  Noa vamos a bailar Vamos al Noa Noa Noa  Noa  Noa  Noa  Noa  Noa Noa  Noa  Noa vamos a bailar Vamos al Noa Noa Noa  Noa  Noa  Noa  Noa  Noa Noa  Noa  Noa vamos a bailar Vamos al Noa Noa Noa  Noa  Noa  Noa  Noa  Noa Noa  Noa  Noa vamos a bailar Vamos al Noa Noa Noa Vamos al noa a bailar  Vamos al Noa Noa Noa  
Vamos al Noa a bailar "
