Nro;Nombre;letra
1;lo olvide ;Se que debi tomar tu mano, Cuando soliamos caminar, Se que debi estar a tu lado, Para algo mas que disfrutar, Lo olvide, lo olvide, lo olvide, Lolo olvide , lo lo olvide , lo lo olvide, Se que debi dejar de lado, Que la razon debia ganar, Se que debi no hacerme caso, Se que debi volver a amar, Lo olvide, lo olvide, lo olvide, Lo olvide, lo olvide, lo olvide, De nada sirve decir te amo, De nada sirve ahora llorar, Como quisiera estar sonando, Y con tus besos despertar, Una oportunidad perdida En el amor no vuelve mas, hum, no, no, Son las lecciones de la vida, Que nunca mas te serviran Lo olvide, lo olvide, lo olvide, Lo olvide, lo olvide, lo olvide, Y ahora la vida se rompe, Mi alma esta sola, Escucho tu nombre, Mis ojos te lloran, Te lloran amor, Se que debi haber amado, Pero es muy tarde, lo olvide, Quiero estar entre tus brazos, Y que tus besos me despierten, Perdoname
2;como las mariposas;Como las mariposas, Hermosa te veo venir, Esas piernas preciosas, ah, Son toditas para mi, Dime cosas graciosas, Tu sabes hacerme reir, Cintura deliciosa, ah, Quiero morir junto a ti, Uh, me enamoro, me enamoro de ella, Tanto que disparo y llego a las estrellas, No me alcanza memoria Para poder resistir, Los espasmos de gloria, ah, Que tu me haces sentir, Quiero que muerdas mi boca, Quiero que me hagas sufrir, Quiero verte muy loca, ah, Quiero tus unas sentir, Uh, me enamoro, me enamoro de ella, Tanto que disparo y llego a las estrellas, Vienes y vas frente a mi, mujer preciosa, Mi sangre ya va a hervir, Mis manos ya se frotan, Tus imagenes flotan, Vienen y van frente a mi, Nuestros cuerpos rebotan, ah, Porque te mueves asi, Uh, me enamoro, me enamoro de ella, Tanto que disparo y llego a las estrellas, Vienes y vas frente a mi, mujer preciosa, Mi sangre ya va a hervir, Mis manos ya se frotan
3;mi auto era una rana;Yo no tengo mucho dinero, Tengo un autito colosal, Ella se escurre por las calles montanosas Escapandose y dejandose atrapar, Nos fuimos para el cementerio, Tire el asiento para atras A ver mi amor, quisiera ver en carne viva, Aquellas piernas que toque en la oscuridad, Mi auto era una rana, saltaba oyendo blues, Mi auto era una rana, saltaba oyendo blues, Yo no soy el hombre de acero, Yo soy un hombre de verdad, Mis ojos de mi cara se salieron, Y de boca me clave en el huracan, Casi llegando al mismo cielo, Ella dejo de respirar, Se desnudo entera en el asiento trasero, Se sento en mi y no dejo de cabalgar, Mi auto era una rana, saltaba oyendo blues, Mi auto era una rana, saltaba oyendo blues, Puse un cassette de Janis Joplin, Subi el volumen mucho mas Entro una luz incandescente, ella me dijo, Los marcianos nos vinieron a llevar, Baje del auto con cuidado, Se me acerco un verde senor, Disculpe jefe, no me lleve soy cantante, Y le prometo hablar de usted en esta cancion, Mi auto era una rana, saltaba oyendo blues, Mi auto era una rana, saltaba oyendo blues, Mi auto era una rana, saltaba oyendo blues, Mi auto era una rana, saltaba oyendo blues, Mi auto era una rana, saltaba oyendo blues, Mi auto era una rana, saltaba oyendo blues, Mi auto era una rana, saltaba oyendo blues, Mi auto era una rana, saltaba oyendo blues
4;un vino, una cerveza;Que habilidad que tienen las mujeres, Para que tu alma este convencida, Que aunque pasen mil anos, tu siempre vas a ser, El gran amor de sus vidas, Hoy quise encontrar la manera, De cazar un tierno corazon, Nada mas, nunca mas, nadie mas me intereso, Creo que hoy no es el dia, Que realidad tan fugaz, las cosas que tienes, Si no hay corazon a la vista, Por demas yo lo se, no tienes que explicar, Debo evitar malas chicas, Se que estoy mal, No estoy bien, Quiero paz, No poder, Debi tomar un vino, quizas una cerveza, Y ni pensar en hacer el amor, Ahora soy remolino de errores e impurezas, Mi mente no lo soporto, Quise empacar la maleta y cambiar de lugar, De razon, de placer y de vida, Todo hay, todo tengo y lo que quiero tener, Dice que no y no me mira, Se que estoy mal, No estoy bien, Quiero paz, No poder, Debi tomar un vino, quizas una cerveza Y ni pensar en hacer el amor, Ahora soy remolino de errores e impurezas, Mi mente no lo soporto, Yo debi tomar un vino, quizas una cerveza, Y ni pensar en hacer el amor, Ahora soy remolino de errores e impurezas, Mi mente no lo soporto, Se que estoy mal, No estoy bien, Quiero paz, No poder, Una mujer que me gusto a la primera, Se ofrecio a hacerme compania, Quise tenerla de pronto y no me pude contener, No utilice poesia, Quizas deba cambiar la manera, De entender al amor y a la vida, Vale mas no tener y siempre anorar, Tenerlo todo liquida, Se que estoy mal, ¨O estoy bien?, Quiero paz, No poder, Debi tomar un vino, quizas una cerveza, Y ni pensar en hacer el amor, Ahora soy remolino de errores e impurezas, Mi mente no lo soporto, Yo debi tomar un vino, quizas una cerveza, Y ni pensar en hacer el amor, Ahora soy remolino de errores e impurezas, Mi mente no lo soporto, Yo debi tomar un vino, quizas una cerveza, Y ni pensar en hacer el amor Ahora soy remolino de errores e impurezas, Mi mente no lo soporto
5;no pense que era amor;No pense que era amor y lo dejaba correr, Iba atando mis manos, Me alejo del ayer y el mar, Que antes miraba estando solo, Hoy vale nada sin ti, Lo se, queda poco, Y ya te tienes que ir, Mi alma llorara, Mi amor llorara y caera en un pozo, Pues te vas y quedo muy solo, ¨Cuantos segundos mas te podre mirar?, Y es verdad que al hablar, De amor al hablar me destrozo, Pues te vas y quedo tan solo, Que prefiero morir, Sin pensar en manana y sollozando de pie, Ya no tengo palabras, No te volvere a ver jamas, Y esto me esta arrancando todo, Me esta matando, yo lo se, Esta bien dentro de poco, No te volvere a ver, Yo pense que era dueno de lo que podia hacer, Ya no toques mi piel, Si no vas a volver jamas, ¨Por que se inundan mis ojos?, Al hablar de ti, No lo se, estare loco, O es que me quiero morir, No lo se, estare loco, O es que me quiero morir
6;te siento de solo pensar;Cuando recuerdo tus besos, Busco un tranquilo lugar, Donde apoyar mi cabeza, Donde ponerme a sonar, Respirar (En la penumbra), Suspirando de a pocos, Te siento de solo pensar, Y es verdad (En la penumbra), Si cierro mis ojos, Me duermo y te puedo tocar, Sentimental sufrimiento, El no poderte gozar, Me despertaste algo eterno, Que nunca podre calmar, Recitar (En la penumbra) Un poema de a pocos, Creo que me va a tranquilizar, Y es verdad (Mi amor a solas), Si cierro mis ojos, Me duermo y te puedo besar, Me puedes amar, Respirar (En la penumbra), Suspirando de a pocos, Te siento de solo pensar, Y ademas (Mis horas solas), Si cierro mis ojos, Me duermo y te puedo tocar, Te puedo besar, Fue quizas (En la mirada), Que mi alma en tu cuerpo, Entro y no regreso jamas, La verdad (Toda mi vida), La llevo en silencio, Tu eres mi felicidad, Mi felicidad, Nos podemos amar
7;cuando pienses en volver ;"Cuando pienses en volver, Aqui estan tus amigos, tu lugar y tu mujer, Y te abrazaran, Diran que el tiempo no paso, Y te amaran con todo el corazon, Trabajas hasta muy tarde, Y no puedes descansar, Las palabras de tu madre empiezan a sonar, Cuando tu te estes muriendo por un poco de amor, Hijito sigue adelante domina al corazon, Debes sacar los tormentos de tu corazon Pues el dolor no es eterno y pronto saldra el sol, Saldra el sol (­Hey!), Cuando pienses en volver Aqui estan tus amigos, tu lugar y tu mujer, Y te abrazaran, Diran que el tiempo no paso Y te amaran con todo el corazon, Puede ser que en tu tierra no habia a donde ir, Puede ser que tus suenos no tenian lugar, Pero solo en tu cuarto tu tendras que admitir, Que podria haber pobreza, pero nunca soledad (­Hey!), Quieres sacar los tormentos de tu corazon, Pues el dolor no es eterno y pronto saldra el sol, Saldra el sol (­Hey!), Cuando pienses en volver, Aqui estan tus amigos, tu lugar y tu mujer, Y te abrazaran, Diran que el tiempo no paso, Y te amaran con todo el corazon
Quieres sacar los tormentos de tu corazon, Pues el dolor no es eterno y pronto saldra el sol Saldra el sol (­Hey!), Cuando pienses en volver, Aqui estan tus amigos, tu lugar y tu mujer Y te abrazaran, Diran que el tiempo no paso, Y te amaran con todo el corazon, Cuando ya tu estes aca, Trabaja hasta las lagrimas como lo hacias alla, Solo asi veras que tu pais no fracaso, Sino que tanto amor te relajo, Y te abrazaran, Diran que el tiempo no paso, Y te amaran con todo el corazon"
8;cuentame;Era increible, su conducta era terrible, Hoy la encontraron con un par de locos, Asaltando personas de ciudad en ciudad, En su mirada el amor ya no moraba, Pero eran tan bellos sus ojos Que todos se olvidaban de su realidad, Cuentame, Cuentame sobre tu vida, Y tratare de quererte todavia, Ay Dios, ay Dios, ay Dios, Yo era un nino que se volvia loco, Cuando la contemplaba siempre modelar, Ella lloraba y nadie la consolaba, Mi corazon se quebranto de a pocos La mujer mas hermosa ya no volvera, Cuentame, Cuentame sobre tu vida, Y tratare de quererte todavia, No desesperes, si algo queda en mi tu puedes, Salir de esta asi me cueste todo, Pero a mi si me cuentas toda la verdad, Cuentame, mi amor, Cuentame, mi amor, Cuentame, mi amor, Cuentame, mi amor, No me llores, no me abraces, no hagas nada, Ya no se si tu lo valgas todo Porque fuiste algo que no se puede olvidar, Solo recuerda, cuando llores de ese modo, Que el mejor remedio de todos, Es pensar en aquellos que hiciste llorar, Vamos, cuenta mi amor Cuentame sobre tu vida, Y tratare, De quererte todavia, No me llores, no me abraces, No me abraces, no hagas nada, Que yo se nada, Cuentame sobre tu vida, Cuentame sobre tu vida, Porque de ti no queda nada, Queda nada, Y estuve loco por ti, Yo ya te amaba, Yo de nino te miraba, De nino te contemplaba, Y estuve loco por ti, Hoy no queda nada, No me llores, no me abraces No me abraces, no hagas nada, Cuentame sobre tu vida, Cuentame sobre tu vida
9;sentimiento increible;Silencio, cuando miro tus ojos y beso tu piel, Muero, cuando me das placer, envuelto en amor No puedo, mantenerme insensiblemente, me adormece tu voz, Sentimiento increiblemente, yo regreso, regreso y nunca logro hacer, Me encanta, que te mueras por mi, te encanta mi seduccion Y se, que cambiarias mil caricias por palabras de amor, Terrible, gozar una caricia matando una ilusion, Desviar a la vida es un juego que nunca podre dominar, Intento, controlar mis instintos, no danar al amor, Soy tu unico amigo, yo no se, yo no se si deba aprovechar, Silencio, cuando miro tus ojos y beso tu piel, Tu nombre, siempre esta junto a mi, siempre a mi lado tu amor, De pronto, una eterna alegria, De pronto un eterno dolor, Las pasiones terminan y el recuerdo se encarga de la soledad, Intento, controlar mis sentidos, yo no quiero llorar, Tu me diste la vida, yo te di los secretos de la soledad
10;globos del cielo;Asin, va, asin va tri sex. Hola ¨Has venido sola?  O estas de pasadita Que rara tu ropa, yo creo que no eres de por aca Que bellos Que bellos son tus senos Los miro y me enveneno Pero no hablas mi idioma, tan solo me dices: Popopo-popo popopo-po Nada entiendo Pero hay un sentimiento Te estiro la camisa Y veo que mi intento no tiene impedimento.Popopo-popo popopo-po Voy a tener los globos del cielo en esta noche Resbalare hasta explosionar entre tus montes Firmes. Tan suaves y sensibles Los miro de cerquita. Que lindas pequitas, adornan tu don monumental Vamos Vamonos de prisa Tus pechos me electrizan Te pido una idea y solo me dices: Popopo-popo popopo-po Voy a tener los globos del cielo en esta noche Resbalare hasta explosionar entre tus montes Voy a tener los globos del cielo en esta noche Resbalare hasta explosionar entre tus montes Larala-laralala-lalala ­Hey! Larala-larala-laralala ­Hey! Larala-laralala-lalala ­Hey! Larala-larala-laralala ­Hey! Senos Senos moscovitas Pezon de dinamita Belleza furiosa, me alocas, me exprimes Popopo-popo popopo-po Me hablas Te entiendo toditito Y es que cuando me exito Mi cuerpo resuelve cualquier impedimento Popopo-popo popopo-po Voy a tener los globos del cielo en esta noche Resbalare hasta explosionar entre tus montes Voy a tener los globos del cielo en esta noche Resbalare hasta explosionar entre tus montes Larala-laralala-lalala ­Hey! Larala-larala-laralala ­Hey! Larala-laralala-lalala ­Hey! Larala-larala-laralala ­Hey! Larala-laralala-lalala ­Hey! Larala-larala-laralala ­Hey! Larala-laralala-lalala ­Hey! Larala-larala-laralala ­Hey! Voy a tener los globos del cielo en esta noche Resbalare hasta explosionar entre tus montes Voy a tener los globos del cielo en esta noche Resbalare hasta explosionar entre tus montes Voy a tener los globos del cielo en esta noche Resbalare hasta explosionar entre tus montes ­Hey!
